replicate,plate,antibiotic,defector,cooperator,type,environment,treatment,dilution,cfus
8,GJV1,none,none,GJV1,control,temperature,50,5,35
8,GJV1,none,none,GJV1,control,temperature,55,4,183
8,GJV1,none,none,GJV1,control,temperature,58,3,152
8,GJV1,none,none,GJV1,control,pH,5.1,4,181
8,GJV1,none,none,GJV1,control,pH,6.8,4,87
8,GJV1,none,none,GJV1,control,pH,8.7,2,298
8,GJV2,none,none,GJV2,control,temperature,50,5,117
8,GJV2,rif,none,GJV2,techcontrol,temperature,50,5,115
8,GJV2,none,none,GJV2,control,temperature,55,4,331
8,GJV2,rif,none,GJV2,techcontrol,temperature,55,4,212
8,GJV2,none,none,GJV2,control,temperature,58,3,466
8,GJV2,rif,none,GJV2,techcontrol,temperature,58,3,320
8,GJV2,none,none,GJV2,control,pH,5.1,5,41
8,GJV2,rif,none,GJV2,techcontrol,pH,5.1,5,46
8,GJV2,none,none,GJV2,control,pH,6.8,4,257
8,GJV2,rif,none,GJV2,techcontrol,pH,6.8,4,325
8,GJV2,none,none,GJV2,control,pH,8.7,3,245
8,GJV2,rif,none,GJV2,techcontrol,pH,8.7,4,34
8,Line L,none,Line L,none,control,temperature,50,1,3440
8,DK4324,none,DK4324,none,control,temperature,50,0,4000
8,DK5208,none,DK5208,none,control,temperature,50,0,0
8,GJV1:Line L,none,Line L,GJV1,totalspores,temperature,50,4,210
8,GJV1:Line L,rif,Line L,GJV1,defectorspores,temperature,50,3,76
8,GJV1:Line L,none,Line L,GJV1,totalspores,temperature,55,4,146
8,GJV1:Line L,rif,Line L,GJV1,defectorspores,temperature,55,3,38
8,GJV1:Line L,none,Line L,GJV1,totalspores,temperature,58,2,546
8,GJV1:Line L,rif,Line L,GJV1,defectorspores,temperature,58,1,136
8,GJV1:Line L,none,Line L,GJV1,totalspores,pH,5.1,4,206
8,GJV1:Line L,rif,Line L,GJV1,defectorspores,pH,5.1,3,255
8,GJV1:Line L,none,Line L,GJV1,totalspores,pH,6.8,4,30
8,GJV1:Line L,rif,Line L,GJV1,defectorspores,pH,6.8,3,11
8,GJV1:Line L,none,Line L,GJV1,totalspores,pH,8.7,3,32
8,GJV1:Line L,rif,Line L,GJV1,defectorspores,pH,8.7,2,37
8,GJV2:DK4324,none,DK4324,GJV2,totalspores,temperature,50,4,952
8,GJV2:DK4324,kan,DK4324,GJV2,defectorspores,temperature,50,3,592
8,GJV2:DK4324,none,DK4324,GJV2,totalspores,temperature,55,3,1368
8,GJV2:DK4324,kan,DK4324,GJV2,defectorspores,temperature,55,0.5,3244
8,GJV2:DK4324,none,DK4324,GJV2,totalspores,temperature,58,0.5,9728
8,GJV2:DK4324,kan,DK4324,GJV2,defectorspores,temperature,58,0.5,30
8,GJV2:DK4324,none,DK4324,GJV2,totalspores,pH,5.1,4,167
8,GJV2:DK4324,kan,DK4324,GJV2,defectorspores,pH,5.1,3,124
8,GJV2:DK4324,none,DK4324,GJV2,totalspores,pH,6.8,4,61
8,GJV2:DK4324,kan,DK4324,GJV2,defectorspores,pH,6.8,3,68
8,GJV2:DK4324,none,DK4324,GJV2,totalspores,pH,8.7,1,29
8,GJV2:DK4324,kan,DK4324,GJV2,defectorspores,pH,8.7,0.5,2
8,GJV2:DK5208,none,DK5208,GJV2,totalspores,temperature,50,5,137
8,GJV2:DK5208,rif,DK5208,GJV2,cooperatorspores,temperature,50,4,135
8,GJV2:DK5208,none,DK5208,GJV2,totalspores,temperature,55,4,435
8,GJV2:DK5208,rif,DK5208,GJV2,cooperatorspores,temperature,55,4,74
8,GJV2:DK5208,none,DK5208,GJV2,totalspores,temperature,58,3,1024
8,GJV2:DK5208,rif,DK5208,GJV2,cooperatorspores,temperature,58,1,3360
8,GJV2:DK5208,none,DK5208,GJV2,totalspores,pH,5.1,5,44
8,GJV2:DK5208,rif,DK5208,GJV2,cooperatorspores,pH,5.1,4,48
8,GJV2:DK5208,none,DK5208,GJV2,totalspores,pH,6.8,5,45
8,GJV2:DK5208,rif,DK5208,GJV2,cooperatorspores,pH,6.8,4,48
8,GJV2:DK5208,none,DK5208,GJV2,totalspores,pH,8.7,4,65
8,GJV2:DK5208,rif,DK5208,GJV2,cooperatorspores,pH,8.7,2,95
9,GJV1,none,none,GJV1,control,temperature,50,5,103
9,GJV1,none,none,GJV1,control,temperature,55,4,49
9,GJV1,none,none,GJV1,control,temperature,58,2,5
9,GJV1,none,none,GJV1,control,pH,5.1,4,186
9,GJV1,none,none,GJV1,control,pH,6.8,4,71
9,GJV1,none,none,GJV1,control,pH,8.7,2,0
9,GJV2,none,none,GJV2,control,temperature,50,5,36
9,GJV2,rif,none,GJV2,techcontrol,temperature,50,5,31
9,GJV2,none,none,GJV2,control,temperature,55,4,115
9,GJV2,rif,none,GJV2,techcontrol,temperature,55,4,124
9,GJV2,none,none,GJV2,control,temperature,58,2,0
9,GJV2,rif,none,GJV2,techcontrol,temperature,58,2,0
9,GJV2,none,none,GJV2,control,pH,5.1,2,134
9,GJV2,rif,none,GJV2,techcontrol,pH,5.1,2,128
9,GJV2,none,none,GJV2,control,pH,6.8,4,36
9,GJV2,rif,none,GJV2,techcontrol,pH,6.8,4,36
9,GJV2,none,none,GJV2,control,pH,8.7,2,0
9,GJV2,rif,none,GJV2,techcontrol,pH,8.7,2,0
9,Line L,none,Line L,none,control,temperature,50,2,556
9,DK4324,none,DK4324,none,control,temperature,50,2,532
9,DK5208,none,DK5208,none,control,temperature,50,1,0
9,GJV1:Line L,none,Line L,GJV1,totalspores,temperature,50,5,48
9,GJV1:Line L,rif,Line L,GJV1,defectorspores,temperature,50,4,168
9,GJV1:Line L,none,Line L,GJV1,totalspores,temperature,55,4,99
9,GJV1:Line L,rif,Line L,GJV1,defectorspores,temperature,55,3,168
9,GJV1:Line L,none,Line L,GJV1,totalspores,temperature,58,1,1
9,GJV1:Line L,rif,Line L,GJV1,defectorspores,temperature,58,0.5,2
9,GJV1:Line L,none,Line L,GJV1,totalspores,pH,5.1,4,221
9,GJV1:Line L,rif,Line L,GJV1,defectorspores,pH,5.1,4,85
9,GJV1:Line L,none,Line L,GJV1,totalspores,pH,6.8,4,22
9,GJV1:Line L,rif,Line L,GJV1,defectorspores,pH,6.8,3,3
9,GJV1:Line L,none,Line L,GJV1,totalspores,pH,8.7,2,0
9,GJV1:Line L,rif,Line L,GJV1,defectorspores,pH,8.7,2,0
9,GJV2:DK4324,none,DK4324,GJV2,totalspores,temperature,50,4,214
9,GJV2:DK4324,kan,DK4324,GJV2,defectorspores,temperature,50,4,38
9,GJV2:DK4324,none,DK4324,GJV2,totalspores,temperature,55,3,66
9,GJV2:DK4324,kan,DK4324,GJV2,defectorspores,temperature,55,0.3,78
9,GJV2:DK4324,none,DK4324,GJV2,totalspores,temperature,58,0.7,0
9,GJV2:DK4324,kan,DK4324,GJV2,defectorspores,temperature,58,0.3,0
9,GJV2:DK4324,none,DK4324,GJV2,totalspores,pH,5.1,4,123
9,GJV2:DK4324,kan,DK4324,GJV2,defectorspores,pH,5.1,3,42
9,GJV2:DK4324,none,DK4324,GJV2,totalspores,pH,6.8,3,52
9,GJV2:DK4324,kan,DK4324,GJV2,defectorspores,pH,6.8,2,23
9,GJV2:DK4324,none,DK4324,GJV2,totalspores,pH,8.7,0.8,0
9,GJV2:DK4324,kan,DK4324,GJV2,defectorspores,pH,8.7,0.2,0
9,GJV2:DK5208,none,DK5208,GJV2,totalspores,temperature,50,5,69
9,GJV2:DK5208,rif,DK5208,GJV2,cooperatorspores,temperature,50,5,24
9,GJV2:DK5208,none,DK5208,GJV2,totalspores,temperature,55,4,129
9,GJV2:DK5208,rif,DK5208,GJV2,cooperatorspores,temperature,55,4,27
9,GJV2:DK5208,none,DK5208,GJV2,totalspores,temperature,58,1,4
9,GJV2:DK5208,rif,DK5208,GJV2,cooperatorspores,temperature,58,1,1
9,GJV2:DK5208,none,DK5208,GJV2,totalspores,pH,5.1,5,29
9,GJV2:DK5208,rif,DK5208,GJV2,cooperatorspores,pH,5.1,4,58
9,GJV2:DK5208,none,DK5208,GJV2,totalspores,pH,6.8,4,157
9,GJV2:DK5208,rif,DK5208,GJV2,cooperatorspores,pH,6.8,3,38
9,GJV2:DK5208,none,DK5208,GJV2,totalspores,pH,8.7,2,0
9,GJV2:DK5208,rif,DK5208,GJV2,cooperatorspores,pH,8.7,2,0
